GAP_ID,GAP_REPORT_DATE,GAP_INITIAL_REPORT_DATE,BU,ULTIMATE_PARENT_CAID,ULTIMATE_PARENT_NAME,ROOFTOP_ACCOUNT_CAID,ROOFTOP_ACCOUNT_NAME,ROOFTOP_ADDRESS,ROOFTOP_ACCOUNT_SEGMENT,ASSET_SHIP_TO_FUNC_ID,ASSET_BILL_TO_FUNC_ID,ASSET_BILLTO_ROOFTOP_CAID,ASSET_BILLTO_ROOFTOP_CA_NAME,ASSET_ID,ASSET_STATUS,ASSET_SUBSTATUS,BILLING_STATUS,IMPLEMENTATION_STATUS,MATCHED_SEQ,ASSET_INSTALLDATE,ASSET_BILLTHROUGH_DATE,ASSET_TAKEDOWN_DATE,ASSET_TOTAL_PRICE,CURRENCY,BILLING_SYSTEM,PRODUCT_ID,PRODUCTCODE,PRODUCT_NAME,REQUIRED_BY_TYPE,SUBS_OPTION_LEVEL,REQUIRED_PRODUCT_CODE,BILLING_LINE_ID,ASSET_PFA_ID,MAPPING_PFA_ID,MATCH_TYPE,FULFILLMENT_ID,PRODUCT_SCOPE,RECORD_SCOPE,ORDER_RESULT,SUBSCRIPTION_ID,SUBS_TERMINATED_DATE,NO_MAPPING_REASON,TWOWAYMATCH,THREEWAYMATCH,GAP_TYPE,THREEWAY_MATCH_BASE,IMPLEMENTATION_STATUS_BASE,GAP_TYPE_BASE,MANUALLY EXCLUDE,COMMENTS,Implementation Notes,VIN Account Status,Category,Reviewed By,Review Date,Desking,AIS,Limited Users,CRM,ILM,Inventory Access,Escalation Priority,QA By,QA Comment,QA Date
VinSolutions_02iPe000002l8afIAA,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11227400,PERFORMANCE AUTOMOTIVE NETWORK,CA13564545,ACURA MARYSVILLE,MARYSVILLE UNION Address 43040-7040 OH 630 COLEMANS CROSSING BLVD,DEALER L2,75399767,75399767,CA13564545,ACURA MARYSVILLE,02iPe000002l8afIAA,Failure to Launch,Obsolete,Missing in Billing,ACTIVE,"[
  ""305969""
]",,,,150,USD,RMB,01t4z00000AB3xsAAD,SVC-CALLTRKG5K,Call Tracking 5K Minutes,,1,Connect CRM/ILM Offer,02iPe000002l8af,,23856,ROOFTOP,305969,Y,,Doesnt have order,a2IPe000001DngyMAC,6/6/2025,,Y,N,Under Billing,N,ACTIVE,Under Billing,#N/A,,"SFX asset as ""Obsolete"" | Asset enabled in Vin |Action: Asset needs to be enabled on SFX  | ",Active,Underbilling,BM,4/29/2026,New Desking Only,TRUE,0,TRUE,TRUE,1,,KG,"QA passed, nothing to correct",5/20/2026
VinSolutions_02iPe000000qqAmIAI,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11322232,UMANSKY AUTO GROUP,CA13468973,ACURA OF AUSTIN NORTH,AUSTIN WILLIAMSON Address 78750-2207 TX 13553 N HIGHWAY 183,DEALER L2,74275545,74275545,CA13468973,ACURA OF AUSTIN NORTH,02iPe000000qqAmIAI,,Obsolete,CANCELLED,ACTIVE,"[
  ""258638"",
  ""258639"",
  ""258640"",
  ""258635"",
  ""258641""
]",7/1/2024,7/31/2024,7/31/2024,1999,USD,RMB,01t4z00000AB3ymAAD,SVC-AMPBYVIN,Automotive Marketing Platform powered by VinSolutions (Direct Email Campaign),,,,02iPe000000qqAm,,21738,ROOFTOP,"258,638,258,639,258,000,000,000,000,000",Y,,Cancel_Billing Submitted_Not started,,,,Y,N,Under Billing,N,ACTIVE,Under Billing,#N/A,,"SFX asset as ""Obsolete"" | Asset enabled in Vin |Action: Asset needs to be enabled on SFX  | ",Active,Underbilling,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/20/2026
VinSolutions_02i4z00000mXLieAAG,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11228872,ATLANTIC AUTOMOTIVE GROUP,CA11201104,ADVANTAGE HYUNDAI,HICKSVILLE NASSAU Address 11801-4372 NY 440 PLAINVIEW RD,DEALER L2,100014414,100014414,CA11201104,ADVANTAGE HYUNDAI,02i4z00000mXLieAAG,,Installed,ACTIVE,No Record in Fulfillment,,2/22/2024,,,880,USD,RMB,01t4z00000AB3yCAAT,SVC-VINESSA-VIRTUAL-ASSIST,Vinessa,,1,Connect CRM/ILM Offer,02i4z00000mXLie,,21806,ROOFTOP,,Y,,New_Billing Submitted_Completed,a2I4z0000033rdYEAQ,,,Y,N,Over Billing,N,ACTIVE,Over Billing,#N/A,,"SFX asset as ""Installed"" | Asset enabled in Vin |Action: Asset needs to be disabled in Vin and SFX  | ",Active,Overbilling,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/20/2026
VinSolutions_02i4z00000mXLiJAAW,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11228872,ATLANTIC AUTOMOTIVE GROUP,CA11198476,ADVANTAGE TOYOTA,VALLEY STREAM NASSAU Address 11581-1004 NY 400 W SUNRISE HWY,DEALER L2,100008072,100008072,CA11198476,ADVANTAGE TOYOTA,02i4z00000mXLiJAAW,,Installed,ACTIVE,No Record in Fulfillment,,2/22/2024,,,880,USD,RMB,01t4z00000AB3yCAAT,SVC-VINESSA-VIRTUAL-ASSIST,Vinessa,,1,Connect CRM/ILM Offer,02i4z00000mXLiJ,,21809,ROOFTOP,,Y,,New_Billing Submitted_Completed,a2I4z0000033rd4EAA,,,Y,N,Over Billing,N,ACTIVE,Over Billing,#N/A,,"SFX asset as ""Installed"" | Asset enabled in Vin |Action: Asset needs to be disabled in Vin and SFX  | ",Active,Overbilling,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/20/2026
VinSolutions_02i4z00000kNQQiAAO,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11321789,CAMPING WORLD RV SALES GROUP,CA13467528,AIRSTREAM OF SAN DIEGO,SAN DIEGO SAN DIEGO Address 92111-1136 CA 7620 COPLEY PARK PL,DEALER L2,74254671,74254671,CA13467528,AIRSTREAM OF SAN DIEGO,02i4z00000kNQQiAAO,Bill to ID Change,Obsolete,CANCELLED,ACTIVE,"[
  ""245621""
]",4/18/2023,10/31/2023,10/31/2023,250,USD,RMB,01t4z00000AB3xvAAD,SVC-TXTMMSUNLMTD,Customer Texting Unlimited MMS Texts,,,,02i4z00000kNQQi,,21094,ROOFTOP,245621,Y,,Cancel_Billing Submitted_Bill to ID Change,,,,Y,N,Under Billing,Y,INACCESSIBLE,,#N/A,,"SFX asset as ""Obsolete"" | Asset enabled in Vin but VIN Account status is Inactive|Action: Vin Account needs to be activated, Asset needs to be updated on SFX  | Vin ID not enabled in COAT",Inactive,No Billing Issue,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/22/2026
VinSolutions_02i4z00000kNQQjAAO,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11321789,CAMPING WORLD RV SALES GROUP,CA13467528,AIRSTREAM OF SAN DIEGO,SAN DIEGO SAN DIEGO Address 92111-1136 CA 7620 COPLEY PARK PL,DEALER L2,74254671,74254671,CA13467528,AIRSTREAM OF SAN DIEGO,02i4z00000kNQQjAAO,Bill to ID Change,Obsolete,CANCELLED,ACTIVE,"[
  ""245622"",
  ""245623""
]",4/18/2023,10/31/2023,10/31/2023,70,USD,RMB,01t4z00000AB3z2AAD,SVC-VINIDSCANATTACH,VinMobile IDScan plus Attachments,,,,02i4z00000kNQQj,,21094,ROOFTOP,"245,622,245,623",Y,,Cancel_Billing Submitted_Bill to ID Change,,,,Y,N,Under Billing,Y,INACCESSIBLE,,#N/A,,"SFX asset as ""Obsolete"" | Asset enabled in Vin but VIN Account status is Inactive|Action: Vin Account needs to be activated, Asset needs to be updated on SFX    | Vin ID not enabled in COAT",Inactive,No Billing Issue,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/22/2026
VinSolutions_02i4z00000kNHNTAA4,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11261933,WEITZ AUTO GROUP,CA13399816,ALFA ROMEO OF AUSTIN,"AUSTIN WILLIAMSON Address 78729-7798 TX 12925 POND SPRINGS RD,A",DEALER L2,73419589,70523271,CA11261933,WEITZ AUTO GROUP,02i4z00000kNHNTAA4,Failure to Launch,Obsolete,Missing in Billing,ACTIVE,"[
  ""240974"",
  ""240973""
]",1/20/2023,,,187,USD,RMB,01t4z00000AB3z2AAD,SVC-VINIDSCANATTACH,VinMobile IDScan plus Attachments,,2,PKG-CTCOREPA,02i4z00000kNHNT,,20876,ROOFTOP,"240,974,240,973",Y,,New_Failure to Launch_Canceled,a2I4z000002EmY0EAK,2/7/2023,,Y,N,Under Billing,N,ACTIVE,Under Billing,#N/A,,"SFX asset as ""Obsolete"" | Asset enabled in Vin |Action: Asset needs to be enabled on SFX  | Different name in Vin ""Alfa Romero of Austin"" |  Vin ID not enabled in COAT",In Setup,Underbilling,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/28/2026
VinSolutions_02i4z00000kNHNSAA4,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11261933,WEITZ AUTO GROUP,CA13399816,ALFA ROMEO OF AUSTIN,"AUSTIN WILLIAMSON Address 78729-7798 TX 12925 POND SPRINGS RD,A",DEALER L2,73419589,70523271,CA11261933,WEITZ AUTO GROUP,02i4z00000kNHNSAA4,Failure to Launch,Obsolete,Missing in Billing,ACTIVE,"[
  ""240972""
]",1/20/2023,,,487,USD,RMB,01t4z00000AB3xvAAD,SVC-TXTMMSUNLMTD,Customer Texting Unlimited MMS Texts,,2,PKG-CTCOREPA,02i4z00000kNHNS,,20876,ROOFTOP,240972,Y,,New_Failure to Launch_Canceled,a2I4z000002EmXyEAK,2/7/2023,,Y,N,Under Billing,N,ACTIVE,Under Billing,#N/A,,"SFX asset as ""Obsolete"" | Asset enabled in Vin |Action: Asset needs to be enabled on SFX  | Different name in Vin ""Alfa Romero of Austin"" |  Vin ID not enabled in COAT",In Setup,Underbilling,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/25/2026
VinSolutions_02i4z00000kNHNUAA4,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11261933,WEITZ AUTO GROUP,CA13399816,ALFA ROMEO OF AUSTIN,"AUSTIN WILLIAMSON Address 78729-7798 TX 12925 POND SPRINGS RD,A",DEALER L2,73419589,70523271,CA11261933,WEITZ AUTO GROUP,02i4z00000kNHNUAA4,Failure to Launch,Obsolete,Missing in Billing,ACTIVE,"[
  ""240950"",
  ""240953"",
  ""240951"",
  ""240952"",
  ""240948"",
  ""240949""
]",1/20/2023,,,674,USD,RMB,01t4z00000AB3yeAAD,SVC-DESKINGMODULE,Desking Module,,2,PKG-CTCOREPA,02i4z00000kNHNU,,20876,ROOFTOP,"240,950,240,953,240,000,000,000,000,000,000,000",Y,,New_Failure to Launch_Canceled,a2I4z000002EmY2EAK,2/7/2023,,Y,N,Under Billing,N,ACTIVE,Under Billing,#N/A,,"SFX asset as ""Obsolete"" | Asset enabled in Vin |Action: Asset needs to be enabled on SFX  | Different name in Vin ""Alfa Romero of Austin"" |  Vin ID not enabled in COAT",In Setup,Underbilling,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/25/2026
VinSolutions_02i4z00000kNHNNAA4,4/15/2026 5:16,3/16/2026 12:22,VinSolutions,CA11261933,WEITZ AUTO GROUP,CA13399816,ALFA ROMEO OF AUSTIN,"AUSTIN WILLIAMSON Address 78729-7798 TX 12925 POND SPRINGS RD,A",DEALER L2,73419589,70523271,CA11261933,WEITZ AUTO GROUP,02i4z00000kNHNNAA4,Failure to Launch,Obsolete,Missing in Billing,ACTIVE,"[
  ""240955"",
  ""240954"",
  ""240957"",
  ""240956""
]",1/20/2023,,,1874,USD,RMB,01t4z00000A9AiCAAV,SVC-CRM-ILM,CRM/ILM,,2,PKG-CTCOREPA,02i4z00000kNHNN,,20876,ROOFTOP,"240,955,240,954,240,000,000,000",Y,,New_Failure to Launch_Canceled,a2I4z000002EmXnEAK,2/7/2023,,Y,N,Under Billing,N,ACTIVE,Under Billing,#N/A,,"SFX asset as ""Obsolete"" | Asset enabled in Vin |Action: Asset needs to be enabled on SFX  | Different name in Vin ""Alfa Romero of Austin"" |  Vin ID not enabled in COAT",In Setup,Underbilling,BM,4/29/2026,New Desking Only,FALSE,0,TRUE,TRUE,Empty,,KG,"QA passed, nothing to correct",5/25/2026
