Product ID,ProductCode,Name,Dealer Feature ID(s),Addon/Base,Base is Required (Technical Dependency Provided)
01t4z00000A9AgTAAV,SVC-CRM-LIMITEDUSERS10,CRM/ILM Limited Users (10 Users Max),ILMEnabled AND FullCRMEnabled AND MaxNumberOfUserGreaterThan0,B,
01t4z00000A9AhFAAV,SVC-ILM-INTEGRATION,ILM Integration,ILMEnabled,B,
01t4z00000A9AiCAAV,SVC-CRM-ILM,CRM/ILM,ILM Enabled AND FullCRMEnabled,B,
01t4z00000A9AiOAAV,SVC-MOTOSNMF,ILM,ILMEnabled,B,
01t4z00000A9Am9AAF,SVC-CRMGMPROGTIER1LIMITED,CRM - GM Turnkey Limited Tier 1,ILMEnabled AND FullCRMEnabled AND MaxNumberOfUserGreaterThan0,B,
01t4z00000AABSuAAP,SVC-CRMGMPROGTIER2LIMITED,CRM - GM Turnkey Limited Tier 2,ILMEnabled AND FullCRMEnabled AND MaxNumberOfUserGreaterThan0,B,
01t4z00000AABSwAAP,SVC-MSNCRMMF,Legacy - CRM,ILM Enabled AND FullCRMEnabled,B,
01t4z00000AB3x8AAD,SVC-CRM-UPGRADE-ULGM,CRM Upgrade to Unlimited Users (GM),ILM Enabled AND FullCRMEnabled,B,
01t4z00000AB3zgAAD,SVC-CRMGMUPGRADE,CRM - GM Turnkey Upgrade,ILM Enabled AND FullCRMEnabled,B,
01tPe000006aDzYIAU,SVC-CRM-ILM,CRM/ILM,ILM Enabled AND FullCRMEnabled,B,
01tPe000006aDzZIAU,SVC-CRM-LIMITEDUSERS10,CRM/ILM Limited Users (10 Users Max),ILMEnabled AND FullCRMEnabled AND MaxNumberOfUserGreaterThan0,B,
01t4z00000AABRuAAP,SVC-DESKING1,Desking,DeskingAccessEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AABSCAA5,SVC-AISDESKCAN,AIS Desking Integration Canada,AISEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AABTmAAP,SVC-AISREINI,AIS CRM Integration,AISEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AABTzAAP,SVC-AISREINICAN,AIS CRM Integration Canada,AISEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AB3xxAAD,SVC-DESKING1,Desking - Plus,DeskingAccessEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AB3yLAAT,SVC-DESKING1,Desking - Pro,DeskingAccessEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AB3yUAAT,SVC-DESKING1,Desking - Core,DeskingAccessEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AB3yeAAD,SVC-DESKINGMODULE,Desking Module,DeskingAccessEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AB3yoAAD,SVC-AISCRM-INTEGRATION,AIS CRM Integration,AISEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AB3ytAAD,SVC-DESKING1,Desking - Premium,DeskingAccessEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AB3zKAAT,SVC-RR,Rates and Residuals powered by DealerTrack,RatesAndResidualsEnabled,A,ILMEnabled and FullCRMEnabled
01t4z00000AB3zUAAT,SVC-AISDESK,AIS Desking Integration,AISEnabled,A,ILMEnabled and FullCRMEnabled
